dimension, 678, 591
Result (x y micro-second), 47, 7, 1158
Result (x y micro-second), 32, 5, 1132
Result (x y micro-second), 1, 64, 1942
Result (x y micro-second), 23, 29, 1166
Result (x y micro-second), 32, 47, 1072
Result (x y micro-second), 23, 47, 1030
Result (x y micro-second), 32, 13, 1165
Result (x y micro-second), 32, 32, 1156
Result (x y micro-second), 29, 16, 1173
Result (x y micro-second), 32, 29, 1159
Result (x y micro-second), 23, 29, 1169
Result (x y micro-second), 16, 11, 1157
Result (x y micro-second), 5, 13, 1294
Result (x y micro-second), 7, 29, 1218
Result (x y micro-second), 5, 11, 1302
Result (x y micro-second), 11, 1, 1695
Result (x y micro-second), 16, 5, 1167
Result (x y micro-second), 5, 13, 1292
Result (x y micro-second), 47, 16, 1182
Result (x y micro-second), 1, 23, 2073
Result (x y micro-second), 11, 23, 1218
Result (x y micro-second), 7, 64, 1272
Result (x y micro-second), 1, 64, 1957
Result (x y micro-second), 16, 16, 1138
Result (x y micro-second), 13, 1, 1600
Result (x y micro-second), 64, 47, 1010
Result (x y micro-second), 23, 13, 1159
Result (x y micro-second), 5, 29, 1271
Result (x y micro-second), 29, 5, 1149
Result (x y micro-second), 5, 32, 1277
Result (x y micro-second), 13, 16, 1189
Result (x y micro-second), 23, 32, 1226
Result (x y micro-second), 13, 23, 1187
Result (x y micro-second), 5, 7, 1444
Result (x y micro-second), 1, 64, 1933
Result (x y micro-second), 32, 7, 1120
Result (x y micro-second), 13, 32, 1226
Result (x y micro-second), 5, 13, 1337
Result (x y micro-second), 29, 13, 1172
Result (x y micro-second), 47, 64, 1019
Result (x y micro-second), 16, 23, 1181
Result (x y micro-second), 32, 47, 1015
Result (x y micro-second), 64, 47, 1006
Result (x y micro-second), 16, 13, 1175
Result (x y micro-second), 32, 13, 1149
Result (x y micro-second), 1, 5, 2874
Result (x y micro-second), 47, 23, 1016
Result (x y micro-second), 29, 7, 1146
Result (x y micro-second), 5, 32, 1278
Result (x y micro-second), 7, 1, 2043
Result (x y micro-second), 23, 64, 1007
Result (x y micro-second), 1, 64, 1933
Result (x y micro-second), 29, 64, 1015
Result (x y micro-second), 5, 7, 1461
Result (x y micro-second), 11, 32, 1235
Result (x y micro-second), 5, 23, 1272
Result (x y micro-second), 11, 47, 1260
Result (x y micro-second), 13, 7, 1191
Result (x y micro-second), 16, 29, 1173
Result (x y micro-second), 16, 7, 1145
Result (x y micro-second), 5, 16, 1275
Result (x y micro-second), 5, 64, 1278
Result (x y micro-second), 47, 47, 1012
Result (x y micro-second), 1, 47, 2252
Result (x y micro-second), 13, 1, 1591
Result (x y micro-second), 47, 64, 1013
Result (x y micro-second), 1, 47, 2239
Result (x y micro-second), 47, 16, 1189
Result (x y micro-second), 23, 64, 1013
Result (x y micro-second), 16, 47, 1258
Result (x y micro-second), 29, 23, 1191
Result (x y micro-second), 16, 64, 1211
Result (x y micro-second), 7, 29, 1244
Result (x y micro-second), 1, 29, 2035
Result (x y micro-second), 13, 16, 1181
Result (x y micro-second), 29, 16, 1233
Result (x y micro-second), 32, 47, 1022
Result (x y micro-second), 7, 23, 1231
Result (x y micro-second), 29, 1, 1318
Result (x y micro-second), 13, 47, 1203
Result (x y micro-second), 5, 1, 2453
Result (x y micro-second), 47, 64, 1009
Result (x y micro-second), 29, 29, 1197
Result (x y micro-second), 7, 7, 1262
Result (x y micro-second), 16, 32, 1161
Result (x y micro-second), 64, 64, 1030
Result (x y micro-second), 11, 13, 1215
Result (x y micro-second), 64, 13, 1175
Result (x y micro-second), 47, 32, 1032
Result (x y micro-second), 1, 7, 2528
Result (x y micro-second), 1, 23, 2082
Result (x y micro-second), 29, 23, 1164
Result (x y micro-second), 13, 32, 1234
Result (x y micro-second), 5, 47, 1288
Result (x y micro-second), 32, 13, 1155
Result (x y micro-second), 29, 29, 1199
Result (x y micro-second), 7, 11, 1244
Result (x y micro-second), 23, 32, 1210
Result (x y micro-second), 47, 47, 1012
Result (x y micro-second), 64, 11, 1214
Result (x y micro-second), 23, 47, 1015
Result (x y micro-second), 7, 29, 1276
Result (x y micro-second), 1, 64, 1970
Result (x y micro-second), 1, 64, 1955
Result (x y micro-second), 16, 64, 1223
Result (x y micro-second), 64, 16, 1153
Result (x y micro-second), 16, 16, 1146
Result (x y micro-second), 1, 29, 2046
Result (x y micro-second), 7, 1, 2042
Result (x y micro-second), 11, 32, 1197
Result (x y micro-second), 7, 64, 1231
Result (x y micro-second), 16, 7, 1143
Result (x y micro-second), 11, 1, 1691
Result (x y micro-second), 64, 5, 1143
Result (x y micro-second), 29, 32, 1197
Result (x y micro-second), 7, 7, 1268
Result (x y micro-second), 23, 7, 1211
Result (x y micro-second), 32, 16, 1164
Result (x y micro-second), 7, 32, 1244
Result (x y micro-second), 7, 29, 1238
Result (x y micro-second), 29, 5, 1162
Result (x y micro-second), 1, 64, 1935
Result (x y micro-second), 23, 47, 1017
Result (x y micro-second), 23, 23, 1202
Result (x y micro-second), 29, 47, 1013
Result (x y micro-second), 13, 47, 1195
Result (x y micro-second), 29, 47, 1014
Result (x y micro-second), 5, 32, 1275
Result (x y micro-second), 29, 47, 1015
Result (x y micro-second), 29, 13, 1160
Result (x y micro-second), 23, 47, 1034
Result (x y micro-second), 13, 1, 1597
Result (x y micro-second), 1, 5, 2915
Result (x y micro-second), 16, 1, 1500
Result (x y micro-second), 32, 16, 1162
Result (x y micro-second), 23, 7, 1170
Result (x y micro-second), 23, 13, 1163
Result (x y micro-second), 1, 1, 7968
Result (x y micro-second), 7, 23, 1226
Result (x y micro-second), 23, 64, 1014
Result (x y micro-second), 11, 32, 1209
Result (x y micro-second), 23, 32, 1228
Result (x y micro-second), 13, 16, 1189
Result (x y micro-second), 16, 64, 1192
Result (x y micro-second), 13, 64, 1238
Result (x y micro-second), 5, 64, 1304
Result (x y micro-second), 32, 16, 1139
Result (x y micro-second), 64, 23, 1019
Result (x y micro-second), 16, 7, 1143
Result (x y micro-second), 16, 1, 1484
Result (x y micro-second), 29, 1, 1308
Result (x y micro-second), 7, 5, 1357
Result (x y micro-second), 7, 7, 1248
Result (x y micro-second), 5, 13, 1286
Result (x y micro-second), 29, 16, 1168
Result (x y micro-second), 11, 32, 1223
Result (x y micro-second), 5, 32, 1258
Result (x y micro-second), 16, 16, 1150
Result (x y micro-second), 7, 32, 1237
Result (x y micro-second), 13, 23, 1196
Result (x y micro-second), 29, 16, 1178
Result (x y micro-second), 23, 7, 1156
Result (x y micro-second), 47, 11, 1216
Result (x y micro-second), 32, 5, 1131
Result (x y micro-second), 23, 1, 1383
Result (x y micro-second), 5, 7, 1431
Result (x y micro-second), 47, 5, 1139
Result (x y micro-second), 11, 1, 1687
Result (x y micro-second), 7, 7, 1275
Result (x y micro-second), 16, 29, 1171
Result (x y micro-second), 23, 23, 1206
Result (x y micro-second), 13, 29, 1196
Result (x y micro-second), 11, 29, 1199
Result (x y micro-second), 64, 23, 1025
Result (x y micro-second), 13, 13, 1217
Result (x y micro-second), 64, 1, 1182
Result (x y micro-second), 29, 16, 1176
Result (x y micro-second), 7, 11, 1241
Result (x y micro-second), 47, 32, 1006
Result (x y micro-second), 7, 7, 1257
Result (x y micro-second), 47, 5, 1138
Result (x y micro-second), 13, 29, 1200
Result (x y micro-second), 5, 23, 1267
Result (x y micro-second), 23, 11, 1160
Result (x y micro-second), 23, 1, 1362
Result (x y micro-second), 32, 64, 1022
Result (x y micro-second), 13, 5, 1198
Result (x y micro-second), 23, 32, 1227
Result (x y micro-second), 23, 23, 1206
Result (x y micro-second), 5, 64, 1262
Result (x y micro-second), 32, 1, 1277
Result (x y micro-second), 32, 7, 1149
Result (x y micro-second), 13, 32, 1225
Result (x y micro-second), 13, 7, 1184
Result (x y micro-second), 16, 23, 1163
Result (x y micro-second), 7, 5, 1362
Result (x y micro-second), 32, 13, 1151
Result (x y micro-second), 29, 47, 1013
Result (x y micro-second), 32, 7, 1126
Result (x y micro-second), 64, 13, 1180
Result (x y micro-second), 7, 29, 1230
Result (x y micro-second), 5, 13, 1287
Result (x y micro-second), 23, 23, 1193
Result (x y micro-second), 5, 5, 1415
Result (x y micro-second), 5, 1, 2459
Result (x y micro-second), 47, 29, 1009
Result (x y micro-second), 5, 23, 1277
Result (x y micro-second), 29, 16, 1173
Result (x y micro-second), 5, 1, 2443
Result (x y micro-second), 16, 23, 1149
Result (x y micro-second), 29, 29, 1205
Result (x y micro-second), 23, 13, 1159
Result (x y micro-second), 1, 7, 2536
Result (x y micro-second), 1, 29, 2035
Result (x y micro-second), 13, 64, 1248
Result (x y micro-second), 47, 13, 1179
Result (x y micro-second), 23, 64, 1015
Result (x y micro-second), 32, 5, 1131
Result (x y micro-second), 16, 32, 1171
Result (x y micro-second), 1, 13, 2168
Result (x y micro-second), 32, 47, 1015
Result (x y micro-second), 47, 29, 1011
Result (x y micro-second), 7, 23, 1242
Result (x y micro-second), 5, 11, 1305
Result (x y micro-second), 23, 13, 1162
Result (x y micro-second), 29, 7, 1144
Result (x y micro-second), 1, 7, 2530
Result (x y micro-second), 13, 64, 1232
Result (x y micro-second), 13, 13, 1189
Result (x y micro-second), 23, 23, 1207
Result (x y micro-second), 5, 7, 1442
Result (x y micro-second), 32, 29, 1150
Result (x y micro-second), 5, 13, 1299
Result (x y micro-second), 23, 29, 1168
Result (x y micro-second), 64, 23, 1012
Result (x y micro-second), 47, 16, 1184
Result (x y micro-second), 7, 32, 1245
Result (x y micro-second), 7, 13, 1219
Result (x y micro-second), 11, 11, 1183
Result (x y micro-second), 16, 47, 1235
Result (x y micro-second), 32, 7, 1132
Result (x y micro-second), 64, 23, 1012
Result (x y micro-second), 13, 5, 1195
Result (x y micro-second), 11, 29, 1198
Result (x y micro-second), 13, 29, 1198
Result (x y micro-second), 1, 16, 2116
Result (x y micro-second), 47, 29, 1008
Result (x y micro-second), 1, 1, 7965
Result (x y micro-second), 47, 23, 1005
Result (x y micro-second), 16, 32, 1155
Result (x y micro-second), 1, 11, 2214
Result (x y micro-second), 7, 7, 1247
Result (x y micro-second), 1, 13, 2166
Result (x y micro-second), 16, 11, 1147
Result (x y micro-second), 23, 64, 1012
Result (x y micro-second), 1, 11, 2210
Result (x y micro-second), 64, 32, 1008
Result (x y micro-second), 29, 13, 1155
Result (x y micro-second), 29, 1, 1312
Result (x y micro-second), 47, 1, 1187
Result (x y micro-second), 29, 29, 1196
Result (x y micro-second), 13, 23, 1223
Result (x y micro-second), 5, 13, 1293
Result (x y micro-second), 13, 64, 1235
Result (x y micro-second), 64, 47, 1052
Result (x y micro-second), 29, 64, 1019
Result (x y micro-second), 5, 32, 1265
Result (x y micro-second), 1, 1, 7968
Result (x y micro-second), 64, 16, 1146
Result (x y micro-second), 5, 16, 1282
Result (x y micro-second), 7, 64, 1250
Result (x y micro-second), 23, 7, 1165
Result (x y micro-second), 29, 11, 1163
Result (x y micro-second), 13, 7, 1171
Result (x y micro-second), 11, 1, 1684
Result (x y micro-second), 1, 32, 2039
Result (x y micro-second), 29, 13, 1154
Result (x y micro-second), 11, 47, 1254
Result (x y micro-second), 32, 29, 1154
Result (x y micro-second), 23, 23, 1188
Result (x y micro-second), 16, 5, 1155
Result (x y micro-second), 11, 16, 1194
Result (x y micro-second), 47, 11, 1177
Result (x y micro-second), 11, 32, 1219
Result (x y micro-second), 23, 13, 1161
Result (x y micro-second), 11, 47, 1268
Result (x y micro-second), 13, 47, 1199
Result (x y micro-second), 47, 47, 1013
Result (x y micro-second), 64, 7, 1149
Result (x y micro-second), 1, 1, 8019
Result (x y micro-second), 7, 5, 1366
Result (x y micro-second), 47, 29, 1002
Result (x y micro-second), 11, 5, 1216
Result (x y micro-second), 16, 5, 1163
Result (x y micro-second), 29, 64, 1008
Result (x y micro-second), 16, 64, 1214
Result (x y micro-second), 1, 32, 2042
Result (x y micro-second), 7, 47, 1263
Result (x y micro-second), 64, 16, 1148
Result (x y micro-second), 13, 16, 1198
Result (x y micro-second), 64, 29, 1011
Result (x y micro-second), 5, 11, 1299
Result (x y micro-second), 13, 64, 1258
Result (x y micro-second), 64, 11, 1194
Result (x y micro-second), 5, 47, 1285
Result (x y micro-second), 7, 5, 1351
Result (x y micro-second), 32, 1, 1279
Result (x y micro-second), 47, 1, 1204
Result (x y micro-second), 64, 5, 1147
Result (x y micro-second), 64, 23, 1015
Result (x y micro-second), 1, 13, 2165
Result (x y micro-second), 23, 1, 1365
Result (x y micro-second), 1, 32, 2040
Result (x y micro-second), 47, 64, 991
Result (x y micro-second), 11, 11, 1183
Result (x y micro-second), 7, 1, 2050
Result (x y micro-second), 32, 7, 1150
Result (x y micro-second), 5, 64, 1277
Result (x y micro-second), 64, 1, 1170
Result (x y micro-second), 5, 5, 1437
Result (x y micro-second), 29, 11, 1159
Result (x y micro-second), 1, 13, 2177
Result (x y micro-second), 11, 47, 1252
Result (x y micro-second), 11, 7, 1201
Result (x y micro-second), 1, 7, 2567
Result (x y micro-second), 29, 1, 1290
Result (x y micro-second), 16, 7, 1141
Result (x y micro-second), 5, 11, 1313
Result (x y micro-second), 32, 32, 1183
Result (x y micro-second), 1, 47, 2235
Result (x y micro-second), 47, 7, 1145
Result (x y micro-second), 47, 29, 1019
Result (x y micro-second), 7, 64, 1268
Result (x y micro-second), 13, 7, 1186
Result (x y micro-second), 47, 16, 1185
Result (x y micro-second), 5, 16, 1287
Result (x y micro-second), 32, 5, 1125
Result (x y micro-second), 32, 47, 1030
Result (x y micro-second), 1, 1, 7976
Result (x y micro-second), 5, 47, 1276
Result (x y micro-second), 1, 32, 2032
Result (x y micro-second), 47, 16, 1197
Result (x y micro-second), 32, 32, 1143
Result (x y micro-second), 32, 11, 1135
Result (x y micro-second), 13, 32, 1233
Result (x y micro-second), 7, 7, 1272
Result (x y micro-second), 47, 1, 1189
Result (x y micro-second), 29, 1, 1302
Result (x y micro-second), 47, 5, 1176
Result (x y micro-second), 1, 16, 2119
Result (x y micro-second), 23, 5, 1173
Result (x y micro-second), 64, 7, 1152
Result (x y micro-second), 11, 16, 1193
Result (x y micro-second), 1, 5, 2867
Result (x y micro-second), 16, 64, 1201
Result (x y micro-second), 64, 23, 1016
Result (x y micro-second), 29, 23, 1155
Result (x y micro-second), 47, 7, 1148
Result (x y micro-second), 13, 16, 1176
Result (x y micro-second), 23, 23, 1206
Result (x y micro-second), 1, 32, 2031
Result (x y micro-second), 32, 29, 1165
Result (x y micro-second), 23, 11, 1152
Result (x y micro-second), 23, 7, 1162
Result (x y micro-second), 13, 23, 1198
Result (x y micro-second), 29, 32, 1198
Result (x y micro-second), 32, 16, 1150
Result (x y micro-second), 32, 47, 1014
Result (x y micro-second), 64, 47, 1030
Result (x y micro-second), 64, 11, 1192
Result (x y micro-second), 32, 47, 1013
Result (x y micro-second), 29, 11, 1157
Result (x y micro-second), 7, 16, 1243
Result (x y micro-second), 11, 13, 1188
Result (x y micro-second), 32, 47, 1017
Result (x y micro-second), 64, 47, 1037
Result (x y micro-second), 13, 23, 1196
Result (x y micro-second), 11, 1, 1688
Result (x y micro-second), 47, 47, 1010
Result (x y micro-second), 1, 1, 7985
Result (x y micro-second), 11, 32, 1201
Result (x y micro-second), 23, 1, 1349
Result (x y micro-second), 7, 13, 1240
Result (x y micro-second), 29, 64, 1014
Result (x y micro-second), 1, 23, 2062
Result (x y micro-second), 7, 23, 1245
Result (x y micro-second), 7, 47, 1268
Result (x y micro-second), 47, 13, 1161
Result (x y micro-second), 7, 1, 2054
Result (x y micro-second), 29, 64, 1010
Result (x y micro-second), 47, 23, 1017
Result (x y micro-second), 23, 5, 1151
Result (x y micro-second), 5, 64, 1278
Result (x y micro-second), 5, 64, 1284
Result (x y micro-second), 23, 64, 1008
Result (x y micro-second), 32, 47, 1042
Result (x y micro-second), 29, 13, 1159
Result (x y micro-second), 29, 29, 1216
Result (x y micro-second), 23, 11, 1161
Result (x y micro-second), 16, 23, 1169
Result (x y micro-second), 29, 29, 1200
Result (x y micro-second), 5, 47, 1259
Result (x y micro-second), 13, 47, 1208
Result (x y micro-second), 5, 23, 1272
Result (x y micro-second), 47, 32, 1013
Result (x y micro-second), 11, 16, 1201
Result (x y micro-second), 5, 64, 1261
Result (x y micro-second), 23, 11, 1154
Result (x y micro-second), 29, 16, 1164
Result (x y micro-second), 1, 1, 7987
Result (x y micro-second), 16, 47, 1209
Result (x y micro-second), 64, 64, 1011
Result (x y micro-second), 1, 23, 2078
Result (x y micro-second), 29, 23, 1163
Result (x y micro-second), 32, 5, 1130
Result (x y micro-second), 5, 13, 1288
Result (x y micro-second), 23, 1, 1364
Result (x y micro-second), 5, 64, 1273
Result (x y micro-second), 47, 7, 1293
Result (x y micro-second), 11, 16, 1623
Result (x y micro-second), 32, 29, 1192
Result (x y micro-second), 1, 47, 2335
Result (x y micro-second), 13, 13, 1195
Result (x y micro-second), 64, 47, 1019
Result (x y micro-second), 64, 1, 1176
Result (x y micro-second), 47, 13, 1161
Result (x y micro-second), 29, 23, 1175
Result (x y micro-second), 11, 29, 1197
Result (x y micro-second), 7, 32, 1229
Result (x y micro-second), 1, 32, 2041
Result (x y micro-second), 29, 64, 1024
Result (x y micro-second), 5, 11, 1316
Result (x y micro-second), 64, 7, 1150
Result (x y micro-second), 7, 47, 1258
Result (x y micro-second), 7, 13, 1228
Result (x y micro-second), 5, 64, 1284
Result (x y micro-second), 1, 5, 2877
Result (x y micro-second), 29, 7, 1137
Result (x y micro-second), 23, 23, 1199
Result (x y micro-second), 1, 11, 2217
Result (x y micro-second), 13, 29, 1196
Result (x y micro-second), 29, 1, 1320
Result (x y micro-second), 11, 32, 1216
